time,u1,u2,u3,y,z,phi,beta
3.06,6.685363681816011,15.0,-0.45292356000701256,8.408735,5.4181395,-0.3712418,0.4715326
3.08,6.57906812643677,15.0,-0.608585007103545,8.402016,5.418507,-0.35406014,0.47289896
3.1,6.6234705922487,-15.0,-0.5659989191571962,8.393595,5.4181876,-0.2952556,0.46771967
3.12,6.775982465608492,-15.0,-0.36926530410625247,8.383583,5.417335,-0.27494174,0.45739797
3.14,6.897250120531283,-15.0,-0.2043474828603002,8.372424,5.4165816,-0.29364315,0.44822773
3.16,6.87213402301956,13.273570610284843,-0.23055203518802458,8.360362,5.4164014,-0.35179964,0.445223
3.18,6.733339122187793,15.0,-0.4195030611107273,8.347285,5.416698,-0.37394512,0.44752777
3.2,6.612956010454781,15.0,-0.5933854762643436,8.332775,5.4168634,-0.35497195,0.44917873
3.22,6.6336199238109215,-15.0,-0.5870497430616609,8.316584,5.4164042,-0.2944164,0.44498703
3.24,6.772884334121346,-15.0,-0.41334744927161854,8.298794,5.415389,-0.2722954,0.43534788
3.2600000000000002,6.90074545203194,-15.0,-0.24058687345868163,8.279823,5.4144015,-0.2890721,0.42590526
3.2800000000000002,6.893993396201617,11.241070069778253,-0.23751461970319593,8.259924,5.413942,-0.34520724,0.4219053
3.3000000000000003,6.767885879568271,15.0,-0.4026849965367095,8.23902,5.413991,-0.37073284,0.4233444
3.3200000000000003,6.642152649666629,15.0,-0.5785928497743285,8.216731,5.414002,-0.3551846,0.4249684
3.34,6.6426789016979555,-13.553584023628027,-0.597210512092422,8.192802,5.4134617,-0.2980935,0.4214981
3.36,6.765729864181466,-15.0,-0.4472246579967879,8.167282,5.412366,-0.2755527,0.41257775
3.38,6.894177146743498,-15.0,-0.2756228990817414,8.140541,5.411234,-0.29181927,0.40312466
3.4,6.903343736868798,10.957366353350118,-0.25042722420639485,8.112824,5.4105678,-0.34735087,0.39834756
3.42,6.793209144327305,15.0,-0.3907943325084413,8.084078,5.4104066,-0.37299502,0.3988793
3.44,6.670085606725402,15.0,-0.5607097205827087,8.05395,5.4102645,-0.35759705,0.40018913
3.46,6.658716363288908,-13.264558520857499,-0.5962006927255434,8.022204,5.4096394,-0.30070385,0.3971746
3.48,6.766809337104186,-15.0,-0.46990574036776883,7.9888735,5.4084826,-0.27759296,0.38900027
3.5,6.890324430430755,-15.0,-0.30816222668069526,7.954299,5.4072566,-0.29322895,0.37989676
3.52,6.907888534731678,10.478568368600428,-0.271408789180153,7.91871,5.406443,-0.3480432,0.37479004
3.54,6.811298127351775,15.0,-0.3903540178449966,7.882065,5.406112,-0.37419084,0.3746472
3.56,6.694761071603261,15.0,-0.5481619693907673,7.8440394,5.4058323,-0.35929754,0.37556335
3.58,6.677209790663309,-12.702647835580173,-0.5908602830197667,7.804413,5.4051275,-0.30294248,0.37277973
3.6,6.772623098012507,-15.0,-0.4833108801118592,7.763213,5.4039273,-0.2788855,0.3652498
3.62,6.888224750997014,-15.0,-0.33478513038527213,7.7207575,5.4026475,-0.2935397,0.3566538
3.64,6.908721239382848,9.612390099227888,-0.29444114453488146,7.6772594,5.4017406,-0.34730113,0.35154223
3.66,6.822076316217407,15.0,-0.3974858955400734,7.632682,5.401288,-0.37464434,0.3509921
3.68,6.713073711679764,15.0,-0.5418652423524084,7.586725,5.4009004,-0.36092758,0.35156956
3.7,6.693286048352234,-11.540535766445863,-0.5853806847521146,7.539181,5.4001293,-0.30576587,0.34888846
3.72,6.779767413380071,-15.0,-0.4906892413481365,7.490075,5.398898,-0.2798179,0.3418639
3.74,6.887586720230504,-15.0,-0.3546547300829086,7.439702,5.3975883,-0.29256144,0.33378682
3.7600000000000002,6.908200648186244,7.826544472609349,-0.3151301582677921,7.3882666,5.3966265,-0.34435922,0.32886168
3.7800000000000002,6.827800075215734,15.0,-0.40792801922390576,7.335738,5.396096,-0.37444586,0.3281587
3.8000000000000003,6.724784817751012,15.0,-0.5411570369497085,7.281839,5.395637,-0.3634447,0.32856262
